feature_1,feature_2,label,subject_id
-16490.482668061246,-16502.134464235187,0,EEG_DS_Struct_0104
-24143.86247358948,-24151.649958336704,0,EEG_DS_Struct_0104
-27457.62729857868,-27457.858069082697,0,EEG_DS_Struct_0104
-5661.841858574387,-5673.456647059928,0,EEG_DS_Struct_0104
458.83485585292414,446.9582787830805,0,EEG_DS_Struct_0104
-19242.986757999,-20292.273389508722,1,EEG_DS_Struct_0104
-25477.701388704492,-26233.86979867028,1,EEG_DS_Struct_0104
-28225.35198242704,-28824.58241550701,1,EEG_DS_Struct_0104
-11903.715582835384,-13810.278321764019,1,EEG_DS_Struct_0104
-3793.934105785057,-5509.76601116373,1,EEG_DS_Struct_0104
-17492.562683859884,-17489.02123556149,2,EEG_DS_Struct_0104
-22928.408500421425,-22922.67198310705,2,EEG_DS_Struct_0104
-22954.69183585214,-22953.57301252045,2,EEG_DS_Struct_0104
-5526.5485200305875,-5514.527875144395,2,EEG_DS_Struct_0104
334.71807207557646,339.0048688633494,2,EEG_DS_Struct_0104
